id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
83449,MARY POP APTS 2/1 APT SLEEP 5,454736,"Jon,  Mary Pop Apartments",,Dania Beach,26.03392,-80.14201,Entire home/apt,99,7,23,2022-12-08,0.17,8,0,3,
69824,2 bd/2ba Oceanfront Condo,351303,Tracy,,Hallandale Beach,25.97641,-80.12052,Entire home/apt,150,30,3,2022-08-15,0.05,2,276,1,
191160,Tropical Beach Paradise Awaits You,924482,Dan,,Deerfield Beach,26.30707,-80.07793,Entire home/apt,119,2,25,2019-11-08,0.19,1,87,0,
129099,MIAMI - AMAZING APARTMENT OCEANVIEW,637272,Bianca,,Hollywood,25.99416,-80.11969,Entire home/apt,225,28,27,2022-07-01,0.20,6,338,2,
129061,MIAMI - LUXURY APARTMENT OVER BEACH,637272,Bianca,,Hollywood,25.99332,-80.11887,Entire home/apt,261,28,21,2022-03-27,0.15,6,336,2,
216046,Dual Masters! - Adult Media/Game Rm - 1GB Internet,964836,Gary,,Hollywood,26.00746,-80.19631,Entire home/apt,320,2,95,2022-12-18,0.71,1,266,20,
1117425,Cute Villa w/POOL 250 yds to BEACH,6133059,Lauderdale,,Lauderdale By The Sea,26.19502,-80.09752,Entire home/apt,150,5,99,2022-11-24,0.94,2,267,13,
229773,Gorgeous Private Las Olas-Idlewyld Home,1097874,Paul,,Fort Lauderdale,26.11784,-80.11059,Entire home/apt,400,3,115,2022-11-29,0.95,1,4,25,
217990,COSY APT OVER THE BEACH,637272,Bianca,,Hollywood,25.9942,-80.11725,Entire home/apt,250,10,18,2018-03-19,0.13,6,364,0,
1118565,Elegant Condo 250 yards from BEACH-New Year’s OPEN,6133059,Lauderdale,,Lauderdale By The Sea,26.19206,-80.09761,Entire home/apt,120,5,86,2022-10-17,0.74,2,285,7,
241944,MARY POP APARTMENTS #203,454736,"Jon,  Mary Pop Apartments",,Dania Beach,26.03392,-80.14201,Entire home/apt,100,7,10,2021-01-01,0.08,8,0,0,
1137299,Private room in Fort Lauderdale,2980266,Sonnie,,Plantation,26.12142,-80.24073,Private room,119,2,0,,,2,0,0,
256386,Country Living for Four,1304156,Nicolas,,Hollywood,26.0274,-80.14268,Entire home/apt,169,2,220,2022-11-27,1.64,4,355,31,
3094016,🥇Victoria Park #2 ~KING~ Las Olas - Beach - Dtown,15735415,Sharonne,,Fort Lauderdale,26.12949,-80.12799,Entire home/apt,136,1,123,2022-10-16,1.18,3,56,8,
3097603,Xmas & New Year in Florida 2BR 2Bath Apt Weston,6533043,Zina,,Weston,26.12729,-80.37193,Entire home/apt,300,7,0,,,2,0,0,
1147098,3Bdrm/3Full Bath/Parking/OceanView Balconies/Patio,6288957,Olga,,Hollywood,26.00715,-80.11813,Entire home/apt,579,3,20,2022-05-20,0.63,6,148,6,
3105046,Winter Holidays in Florida - Large 1BR Apt,6533043,Zina,,Weston,26.12701,-80.37186,Entire home/apt,105,7,0,,,2,0,0,
302467,Secret in Wilton Manors/Lauderdale *Superhost,1557618,Claudia,,Fort Lauderdale,26.15081,-80.13361,Entire home/apt,272,3,110,2022-09-06,0.83,5,54,7,
1149806,Cozy Suite in Fort Lauderdale,6302818,Omar A.,,Oakland Park,26.17082,-80.13079,Entire home/apt,177,3,190,2022-12-04,1.63,1,288,22,
3113463,Nice private room / Waterfront home,15820838,Eloizio,,Pompano Beach,26.20921,-80.12938,Private room,65,4,71,2022-12-05,0.78,2,297,6,
1173175,Tropical Waterfront Paradise with dockage,2604965,Maureen,,Hollywood,26.02862,-80.16496,Entire home/apt,686,2,48,2022-07-25,0.41,1,364,6,
308839,Fabulous & Private 475 sq ft Suite,1585064,Deborah,,Miramar,25.98577,-80.31657,Private room,65,180,48,2022-12-05,0.37,2,279,1,
325734,Hidden Gem for two,1304156,Nicolas,,Hollywood,26.02603,-80.14215,Entire home/apt,104,2,180,2022-12-03,1.50,4,336,43,
1217687,Sunny Villa Bedroom -w- Private Bathroom & Balcony,4375673,Christian,,Coconut Creek,26.31737,-80.17429,Private room,60,3,0,,,1,314,0,
334321,S.Florida 1 Sunshine Vacation,407867,Eno,,Cooper City,26.05326,-80.28041,Private room,90,2,3,2016-03-06,0.03,2,361,0,
3132163,Located in the QClub Ft Lauderdale Bch Rsrt(2110),5397550,Sunshine,,Fort Lauderdale,26.12924,-80.10407,Entire home/apt,300,1,56,2021-06-01,0.57,5,365,0,
1231564,Mediterranean Villa- Luxury  Master Bedroom & Bath,6716392,Susan,,Coconut Creek,26.31783,-80.17438,Private room,71,3,131,2022-06-05,1.18,1,326,3,
3166711,SPECTACULAR 1B DIRECT BEACH ACCESS,6554158,Marcelo,,Hollywood,25.9873,-80.11862,Entire home/apt,140,3,31,2022-11-20,0.32,3,243,11,
334375,S.FloridaSunshineGetawayVacation HardRock Stadium,407867,Eno,,Cooper City,26.0534,-80.28132,Entire home/apt,250,3,8,2020-03-02,0.07,2,332,0,
1293741,Sian 2/2 ocean front & ocean view,6321234,Jason,,Hollywood,25.98707,-80.11925,Entire home/apt,350,4,258,2022-12-21,2.24,1,244,41,
349538,Beachside Location! Central Beach | Resort Condo,1770887,Chris,,Fort Lauderdale,26.13588,-80.10394,Entire home/apt,360,2,32,2021-03-27,0.25,13,41,0,
3174078,2080 PENTHOUSE 2/2 OCEAN FRONT,2001930,Dmitri,,Hallandale Beach,25.97868,-80.12008,Entire home/apt,299,14,0,,,40,240,0,
1301449,3/2 Townhouse Miami/Fort Lauderdale  8 mi to beach,7076305,James,,Miramar,25.97665,-80.22364,Entire home/apt,179,5,82,2022-05-09,0.75,1,165,7,
